id,name,team,category,capColor,accentColor,isPitcher
bust-10,"Ben McDonald",BAL,busts,#DF4601,#000000,true
bust-13,"Billy Beane",OAK,busts,#003831,#EFB21E,false
bust-5,"Brien Taylor",NYY,busts,#0C2340,#FFFFFF,true
bust-17,"Darryl Strawberry",NYM,busts,#002D72,#FF5910,false
bust-12,"David Clyde",TEX,busts,#003278,#C0111F,true
bust-16,"Dwight Gooden",NYM,busts,#002D72,#FF5910,true
bust-20,"Eric Davis",CIN,busts,#C6011F,#000000,false
bust-11,"Gregg Jefferies",NYM,busts,#002D72,#FF5910,false
bust-4,"Jim Abbott",CAL,busts,#BA0021,#003263,true
bust-19,"Jose Rijo",CIN,busts,#C6011F,#000000,true
bust-15,"Josh Hamilton",CIN,busts,#C6011F,#000000,false
bust-7,"Kerry Wood",CHC,busts,#0E3386,#CC3433,true
bust-14,"Lastings Milledge",NYM,busts,#002D72,#FF5910,false
bust-18,"Mark Fidrych",DET,busts,#0C2340,#FA4616,true
bust-6,"Mark Prior",CHC,busts,#0E3386,#CC3433,true
bust-9,"Matt Bush",SD,busts,#2F241D,#FFC425,true
bust-1,"Rick Ankiel",STL,busts,#C41E3A,#0C2340,true
bust-2,"Ruben Mateo",TEX,busts,#003278,#C0111F,false
bust-3,"Steve Balboni",KC,busts,#004687,#BD9B60,false
bust-8,"Todd Van Poppel",OAK,busts,#003831,#EFB21E,true
103,"A.J. Minter",ATL,current,#CE1141,#13274F,true
4,"Aaron Judge",NYY,current,#0C2340,#FFFFFF,false
91,"Aaron Nola",PHI,current,#E81828,#002D72,true
147,"Adam Duvall",ATL,current,#CE1141,#13274F,false
218,"Adam Frazier",BAL,current,#DF4601,#000000,false
43,"Adley Rutschman",BAL,current,#DF4601,#000000,false
292,"Adolis Garcia",TEX,current,#003278,#C0111F,false
151,"Alejandro Kirk",TOR,current,#134A8E,#1D2D5C,false
148,"Alek Thomas",ARI,current,#A71930,#E3D4AD,false
52,"Alex Bregman",HOU,current,#002D62,#EB6E1F,false
207,"Alex Lange",DET,current,#0C2340,#FA4616,true
135,"Alex Verdugo",BOS,current,#BD3039,#0C2340,false
37,"Alexis Diaz",CIN,current,#C6011F,#000000,true
240,"Amed Rosario",LAD,current,#005A9C,#FFFFFF,false
64,"Andres Gimenez",CLE,current,#00385D,#E50022,false
181,"Andres Munoz",SEA,current,#0C2C56,#005C5C,true
297,"Andrew Abbott",CIN,current,#C6011F,#000000,true
